"govtrust","humanid","globalid","ownestim","gender","age","income","edu","ses","scicons","trustsci","envid","extmotiv","intmotiv","politics","cri_2020","co_emissions","gini","hdi","CountryCode","pcpid","ccshare"
"94","98","96","67","1","35","7","3","8","13","69","100","21.6","95","14",92.5,3.5346,27.6,0.745,1,"2",1
"50","81","76","50","1","23","4","2","7","49","47","68","50","53","50",92.5,3.5346,27.6,0.745,1,"3",1
"46","100","67","28","1","50","8","4","6","77","81","87","3","70.6","15",92.5,3.5346,27.6,0.745,1,"4",1
"10","80","74","4","1","35","6","3","5","41","55.5","98.25","26.4","82","46",92.5,3.5346,27.6,0.745,1,"5",1
"50","30","40","21","1","45","2","2","2","100","100","85","0","100","54",92.5,3.5346,27.6,0.745,1,"6",1
"100","65","100","41","2","24","3","3","6","88","93.5","98","30","100","60",92.5,3.5346,27.6,0.745,1,"7",1
"69","77","57","43","2","20","1","3","10","38","71","90.5","56.8","48.6","54",92.5,3.5346,27.6,0.745,1,"8",1
"75","47","55","9","2","32","4","4","5","90","68","75.5","0.2","77.4","43",92.5,3.5346,27.6,0.745,1,"9",1
"80","80","50","60","1","23","1","2","5","30","67.5","95","17.4","99.8","19.5",92.5,3.5346,27.6,0.745,1,"10",0
"50","100","90","50","1","21","","3","8","57","89.5","92.5","46.6","90","50.5",92.5,3.5346,27.6,0.745,1,"11",1
"","42","51","100","1","23","","2","","","37","75.5","60.8","56.4","",92.5,3.5346,27.6,0.745,1,"12",1
"96","75","58","32","1","30","3","2","5","64","60","67.5","25.6","84","",92.5,3.5346,27.6,0.745,1,"13",1
"91","80","80","81","1","25","2","3","6","80","100","100","21","77.4","49",92.5,3.5346,27.6,0.745,1,"14",1
"50","100","100","50","1","22","5","3","9","57","83","83.5","24.4","93.8","46.5",92.5,3.5346,27.6,0.745,1,"15",1
"96","80","86","65","1","22","7","3","6","80","80","86.5","16.4","71.2","61",92.5,3.5346,27.6,0.745,1,"16",0
"9","92","81","30","2","29","","3","2","7","50","95.75","14","94.4","54.5",92.5,3.5346,27.6,0.745,1,"17",0
"40","50","41","61","1","40","8","4","6","59","59","76.5","13","68.6","47.5",92.5,3.5346,27.6,0.745,1,"18",0
"100","100","100","100","2","43","1","","3","50","99","99","67","99.5","99",92.5,3.5346,27.6,0.745,1,"20",0
"80","92","97","72","1","37","3","2","6","90","60","93.25","3.6","98.2","76",92.5,3.5346,27.6,0.745,1,"21",0
"48","100","49","59","2","22","2","3","5","70","64.5","69.25","1.6","58.6","55.5",92.5,3.5346,27.6,0.745,1,"23",1
"53","100","55","70","2","24","4","3","8","94","69.5","100","50","100","100",92.5,3.5346,27.6,0.745,1,"24",0
"26","89","71","80","1","37","8","3","8","40","57","90.75","18.8","98","58",92.5,3.5346,27.6,0.745,1,"25",1
"81","90","70","70","1","34","2","3","7","75","77","88","55.2","86","80.5",92.5,3.5346,27.6,0.745,1,"26",1
"79","80","78","31","2","31","4","3","7","26","80","67.25","27.2","80.4","58",92.5,3.5346,27.6,0.745,1,"27",0
"100","80","75","68","1","56","4","2","3","50","89.5","96.25","3.8","80.8","52.5",92.5,3.5346,27.6,0.745,1,"28",0
"90","75","55","80","1","34","","3","5","77","63","100","48.3333333333333","99","100",92.5,3.5346,27.6,0.745,1,"29",0
"50","60","70","15","1","47","5","2","6","95","85","92.25","44.6","92","",92.5,3.5346,27.6,0.745,1,"30",1
"100","100","100","61","1","35","5","4","10","99","100","100","80.6","99.6","99.5",92.5,3.5346,27.6,0.745,1,"31",1
"40","74","80","36","1","40","3","3","7","76","70.5","86.5","1.8","89","52.5",92.5,3.5346,27.6,0.745,1,"32",1
"50","100","100","48","1","37","8","4","7","60","100","99.75","80","80","49",92.5,3.5346,27.6,0.745,1,"33",1
"75","50","79","81","1","58","3","3","6","79","47","73.5","53.6","87.4","",92.5,3.5346,27.6,0.745,1,"35",1
"55","51","40","30","1","30","3","4","10","74","60","59.25","30.8","55.4","",92.5,3.5346,27.6,0.745,1,"36",0
"66","72","71","51","2","27","","3","9","68","83.5","93.5","22.4","100","",92.5,3.5346,27.6,0.745,1,"37",0
"60","100","90","90","1","27","1","3","2","90","95","90","10","98","60",92.5,3.5346,27.6,0.745,1,"38",1
"51","85","8","15","2","19","3","3","4","19","35","65.75","53.2","47.6","65.5",92.5,3.5346,27.6,0.745,1,"40",1
"71","85","51","54","1","31","3","2","3","62","58","84.75","9.4","79.8","73",92.5,3.5346,27.6,0.745,1,"41",1
"69","96","97","54","1","49","6","2","4","61","86","89","59.2","88.2","52.5",92.5,3.5346,27.6,0.745,1,"42",1
"20","70","50","60","2","22","4","3","9","95","50","72.5","15.2","70.8","68",145.17,1.9878,27.9,0.759,2,"43",1
"0","83","73","91","2","48","1","3","3","49","87","28.5","3","44","",145.17,1.9878,27.9,0.759,2,"44",0
"42","73","70","43","2","20","5","3","6","82","64.5","76.5","4","84.2","7.5",145.17,1.9878,27.9,0.759,2,"45",0
"20","90","80","65","2","19","6","3","8","80","50","70","1.8","78","81",145.17,1.9878,27.9,0.759,2,"49",1
"26","85","89","83","1","27","","4","7","93","59","96.25","5.6","92.2","62.5",145.17,1.9878,27.9,0.759,2,"51",0
"1","100","100","50","1","21","3","2","5","80","65","35.75","20.8","67.8","51.5",145.17,1.9878,27.9,0.759,2,"52",0
"45","87","79","45","2","20","5","3","7","86","89.5","81.75","2","73.8","",145.17,1.9878,27.9,0.759,2,"53",0
"14","96","51","40","1","19","3","3","6","87","55","79.75","25.4","67.4","51.5",145.17,1.9878,27.9,0.759,2,"54",0
"31","50","100","20","2","21","3","2","7","100","30","67.5","1","70","90",145.17,1.9878,27.9,0.759,2,"56",1
"10","70","40","10","2","22","5","4","6","49","40","25","4.6","28.6","90",145.17,1.9878,27.9,0.759,2,"60",0
"4","93","95","31","2","21","5","3","8","34","30","76","3.6","76","53",145.17,1.9878,27.9,0.759,2,"62",0
"60","72","53","22","1","36","4","3","8","90","64","88.25","3.2","82.6","56.5",145.17,1.9878,27.9,0.759,2,"63",0
"0","81","70","100","1","23","4","3","6","100","51","53.5","21","45","",145.17,1.9878,27.9,0.759,2,"64",0
"10","70","1","64","1","27","8","3","5","90","59","41","6","54","63.5",145.17,1.9878,27.9,0.759,2,"65",0
"1","100","53","28","2","19","4","3","6","60","67.5","51.75","6.4","38.8","73",145.17,1.9878,27.9,0.759,2,"66",0
"7","22","14","62","1","27","","","7","13","27.5","14.75","13.4","25","42",145.17,1.9878,27.9,0.759,2,"67",0
"16","50","79","60","1","33","3","1","5","71","42","51.5","8.6","45","",145.17,1.9878,27.9,0.759,2,"68",1
"20","100","70","70","2","45","3","2","4","80","90","52.5","1","57","",145.17,1.9878,27.9,0.759,2,"69",1
"50","20","70","5","1","23","8","4","8","70","51","100","22","98","50",145.17,1.9878,27.9,0.759,2,"70",0
"0","76","100","93","2","25","6","3","8","53","50","44.75","46","53.8","",145.17,1.9878,27.9,0.759,2,"71",0
"2","63","70","60","2","23","","3","4","78","51","75","2.4","67.2","61.5",145.17,1.9878,27.9,0.759,2,"72",0
"58","90","80","60","2","23","5","4","6","70","85","66","31","46.8","52.5",145.17,1.9878,27.9,0.759,2,"73",0
"5","71","40","10","1","18","5","2","6","74","50","68.5","3.4","41.8","",145.17,1.9878,27.9,0.759,2,"74",0
"6","41","25","22","2","21","5","4","6","36","31","40","5.4","37","",145.17,1.9878,27.9,0.759,2,"75",0
"21","50","53","51","2","49","3","3","6","60","50.5","66.5","30.6","64.8","",145.17,1.9878,27.9,0.759,2,"76",1
"1","95","25","70","2","20","3","3","5","55","44.5","74.25","32.4","53","",145.17,1.9878,27.9,0.759,2,"78",0
"5","100","60","43","2","25","5","4","5","100","45","82.5","10.6","81.8","44.5",145.17,1.9878,27.9,0.759,2,"79",0
"6","91","100","4","2","23","3","3","4","16","16.5","75.75","31.8","80.4","65.5",145.17,1.9878,27.9,0.759,2,"80",1
"3","81","40","100","2","31","3","2","5","99","79.5","33","21.4","38.2","",145.17,1.9878,27.9,0.759,2,"82",1
"0","100","100","71","2","23","4","3","6","50","81","55","0.8","31.8","",145.17,1.9878,27.9,0.759,2,"83",0
"2","100","10","51","2","50","","3","8","100","70","77.5","0.6","95.6","46.5",145.17,1.9878,27.9,0.759,2,"84",0
"22","97","99","51","2","56","3","2","8","50","56.5","65.25","50.8","61.8","",145.17,1.9878,27.9,0.759,2,"85",0
"48","81","80","49","2","34","7","4","7","53","81.5","79.5","47","68.6","38",50.17,15.3684,34.3,0.951,3,"88",0
"100","100","100","100","2","35","5","2","8","100","100","98.5","37.2","92.4","62",50.17,15.3684,34.3,0.951,3,"90",1
"0","100","9","29","2","45","6","3","5","50","11","75.75","3","49.2","1.5",50.17,15.3684,34.3,0.951,3,"92",1
"8","86","80","91","2","27","6","2","6","60","75","82.25","27.8","75.4","4.5",50.17,15.3684,34.3,0.951,3,"93",0
"81","81","82","70","1","36","7","3","6","70","82.5","72.5","77","67","51",50.17,15.3684,34.3,0.951,3,"95",1
"25","78","50","41","2","40","6","3","7","46","54","56","48.4","55","67.5",50.17,15.3684,34.3,0.951,3,"96",0
"53","57","61","36","1","35","4","2","6","70","58","52.5","61","61.4","57.5",50.17,15.3684,34.3,0.951,3,"97",1
"81","85","50","74","2","29","6","4","5","95","86","73","17.8","66.8","77",50.17,15.3684,34.3,0.951,3,"99",0
"34","70","42","72","1","30","3","3","8","71","81","78.75","37.8","83.4","50.5",50.17,15.3684,34.3,0.951,3,"100",1
"88","81","91","89","2","40","8","3","8","91","87.5","89.5","59.8","65.4","62.5",50.17,15.3684,34.3,0.951,3,"102",1
"0","100","0","15","1","57","8","4","10","81","50","25.25","0","40.2","50",50.17,15.3684,34.3,0.951,3,"104",0
"77","89","84","81","2","18","1","2","4","81","82.5","82.5","51.2","66.2","76",50.17,15.3684,34.3,0.951,3,"105",0
"50","89","69","70","2","66","4","3","5","73","70","63.25","13.4","62.8","56.5",50.17,15.3684,34.3,0.951,3,"107",0
"63","89","90","79","2","42","6","3","4","77","83","68","30","80.6","60",50.17,15.3684,34.3,0.951,3,"108",0
"70","88","78","60","2","50","7","3","8","80","91","81.5","44","62.4","36.5",50.17,15.3684,34.3,0.951,3,"110",0
"69","68","68","81","1","33","4","2","8","81","75.5","64.75","67","58.4","77.5",50.17,15.3684,34.3,0.951,3,"111",1
"62","79","66","19","1","26","6","3","4","66","85.5","67.75","40.6","40.8","45",50.17,15.3684,34.3,0.951,3,"112",1
"90","90","90","80","2","33","4","2","5","70","85","88.25","53.6","52.2","54",50.17,15.3684,34.3,0.951,3,"117",1
"34","100","100","55","2","29","6","2","2","98","100","100","0","100","99.5",50.17,15.3684,34.3,0.951,3,"118",1
"","100","100","79","1","47","4","2","10","100","","84.5","19.8","74.8","",50.17,15.3684,34.3,0.951,3,"120",1
"74","74","82","70","2","45","4","2","6","74","77","80.25","61","79.8","40",50.17,15.3684,34.3,0.951,3,"121",1
"28","36","41","54","2","29","3","3","3","52","51.5","49.25","44.2","48.2","60.5",50.17,15.3684,34.3,0.951,3,"123",1
"61","72","90","57","1","58","4","2","4","93","83","66.75","26.2","71.6","13.5",50.17,15.3684,34.3,0.951,3,"124",1
"40","80","80","30","2","52","6","3","3","92","60","64.75","3.6","80.2","58",50.17,15.3684,34.3,0.951,3,"126",0
"66","90","100","70","1","58","4","3","3","85","100","80","16","88.8","29.5",50.17,15.3684,34.3,0.951,3,"128",1
"51","89","75","48","1","68","6","3","5","82","86","79","23","73","25",50.17,15.3684,34.3,0.951,3,"130",0
"58","78","79","62","1","39","7","3","7","99","100","75.75","13.2","97.8","51",50.17,15.3684,34.3,0.951,3,"131",1
"60","92","92","55","1","45","6","3","5","92","77","93.25","12.4","98.6","62.5",50.17,15.3684,34.3,0.951,3,"132",1
"39","100","99","30","1","59","6","3","6","70","57.5","82.5","11.6","68.4","59.5",50.17,15.3684,34.3,0.951,3,"133",0
"50","85","0","52","1","39","5","3","6","80","80.5","87.5","2","85.4","66.5",50.17,15.3684,34.3,0.951,3,"135",0
"52","81","72","50","1","71","4","3","4","42","5","21.25","1.6","31.6","51.5",50.17,15.3684,34.3,0.951,3,"136",0
"66","70","57","66","2","24","6","3","7","51","49","55.5","44.8","49.8","54.5",50.17,15.3684,34.3,0.951,3,"138",0
"70","79","70","75","1","67","6","3","7","71","71","75.75","59.2","55.4","59",50.17,15.3684,34.3,0.951,3,"139",1
"72","85","98","30","1","31","8","3","8","90","96","61","13.8","31.2","37",50.17,15.3684,34.3,0.951,3,"141",0
"61","81","50","60","1","68","5","4","6","15","43","60","22.2","55","50",50.17,15.3684,34.3,0.951,3,"142",0
"2","82","40","51","1","50","6","2","5","50","","50.5","22.6","44.2","",50.17,15.3684,34.3,0.951,3,"143",0
"51","87","67","61","2","72","","3","7","78","62","92.25","32.4","85.4","45.5",50.17,15.3684,34.3,0.951,3,"145",0
"56","59","54","58","1","22","4","3","5","71","57.5","62.75","30.6","39.6","63.5",50.17,15.3684,34.3,0.951,3,"146",0
"40","68","67","81","2","42","","3","7","69","68","81","61.4","61.4","48",50.17,15.3684,34.3,0.951,3,"148",0
"75","100","91","70","2","71","4","3","6","81","73","100","5.6","84.2","50.5",50.17,15.3684,34.3,0.951,3,"151",1
"66","80","80","71","2","62","5","3","6","94","76.5","81.25","66.6","74.6","60.5",50.17,15.3684,34.3,0.951,3,"155",0
"40","80","63","89","2","22","5","2","4","59","74","75.25","21.6","71","53.5",50.17,15.3684,34.3,0.951,3,"158",1
"39","59","28","51","1","50","4","2","5","60","50","59.75","38.2","44.8","50.5",50.17,15.3684,34.3,0.951,3,"160",0
"12","91","90","17","2","49","6","3","7","80","48.5","75.25","12.2","68.4","49.5",50.17,15.3684,34.3,0.951,3,"161",1
"11","62","72","41","1","27","5","3","7","71","30","25.25","60.4","15.2","65",50.17,15.3684,34.3,0.951,3,"162",0
"54","68","62","37","1","34","6","3","5","67","43.5","61.25","45.2","48.6","42.5",50.17,15.3684,34.3,0.951,3,"164",0
"37","100","100","97","1","58","6","2","5","60","86.5","93","76.4","94","73.5",50.17,15.3684,34.3,0.951,3,"165",1
"11","66","52","50","2","33","4","2","7","50","","48.25","7.8","63.6","",55.67,6.7324,29.8,0.916,4,"168",0
"20","41","25","56","2","36","4","2","6","68","38.5","44.25","54.4","53","40.5",55.67,6.7324,29.8,0.916,4,"169",0
"52","74","76","71","1","41","4","2","5","73","51","76.75","36.2","75.6","52",55.67,6.7324,29.8,0.916,4,"170",0
"22","42","50","61","1","22","","1","","","48","46","44","45.4","54",55.67,6.7324,29.8,0.916,4,"172",1
"33","100","70","74","2","24","","2","5","86","52","59","21.6","81.4","10",55.67,6.7324,29.8,0.916,4,"175",0
"","71","89","31","2","52","1","4","","95","72","75","3.4","84.8","",55.67,6.7324,29.8,0.916,4,"176",0
"63","90","97","53","2","29","4","3","4","82","70.5","85.5","20","92.4","53.5",55.67,6.7324,29.8,0.916,4,"177",0
"94","94","83","96","1","32","7","4","8","94","92.5","87.5","87.2","74.8","80",55.67,6.7324,29.8,0.916,4,"178",1
"60","55","100","75","1","64","5","2","7","40","80","48.75","40.2","83.8","18.5",55.67,6.7324,29.8,0.916,4,"179",0
"8","21","11","62","1","38","5","2","7","23","22.5","39.25","16.6","65.4","70.5",55.67,6.7324,29.8,0.916,4,"180",1
"23","90","50","41","2","24","5","2","6","54","62","88.75","27.4","95.2","14.5",55.67,6.7324,29.8,0.916,4,"181",0
"9","67","63","56","2","72","3","2","6","94","81.5","84","36.4","98.8","86",55.67,6.7324,29.8,0.916,4,"182",0
"50","90","85","50","1","38","","4","8","50","","72.75","0","66.4","53",55.67,6.7324,29.8,0.916,4,"183",0
"46","82","69","80","2","30","4","2","7","71","74.5","69.75","42.4","67","69",55.67,6.7324,29.8,0.916,4,"184",0
"36","54","37","45","2","45","4","3","5","66","43.5","35.75","8.2","39.2","65",55.67,6.7324,29.8,0.916,4,"187",0
"0","70","63","15","2","52","3","4","5","13","21.5","34.75","45.4","45.6","81",55.67,6.7324,29.8,0.916,4,"188",1
"88","100","87","90","2","36","3","4","6","86","90.5","91.5","89","78.4","63.5",55.67,6.7324,29.8,0.916,4,"189",1
"33","100","66","92","2","27","5","3","5","61","","73.25","19.6","85.2","100",55.67,6.7324,29.8,0.916,4,"190",0
"84","85","90","83","1","28","6","3","7","62","78.5","69.5","67.8","71","50",55.67,6.7324,29.8,0.916,4,"191",0
"43","61","64","67","1","23","4","2","4","98","97","81.5","43.2","87.6","66.5",55.67,6.7324,29.8,0.916,4,"192",0
"62","53","74","64","1","21","6","2","8","83","100","64.5","61.2","54.4","86.5",55.67,6.7324,29.8,0.916,4,"193",1
"","65","94","29","1","20","","4","5","97","","62.75","62.6","62.4","",55.67,6.7324,29.8,0.916,4,"194",0
"63","43","51","66","2","28","3","3","4","60","66.5","66.5","62.2","55","60",55.67,6.7324,29.8,0.916,4,"195",1
"5","88","43","64","2","26","5","2","6","69","84.5","69","12","94","48.5",55.67,6.7324,29.8,0.916,4,"196",0
"57","100","88","68","1","22","5","2","8","62","76.5","100","33","40.6","74.5",55.67,6.7324,29.8,0.916,4,"197",0
"32","60","75","85","2","36","4","4","6","87","62","73.25","14.4","93.8","23",55.67,6.7324,29.8,0.916,4,"198",0
"55","65","75","79","1","20","4","2","4","85","80","68","27.8","52.6","69.5",55.67,6.7324,29.8,0.916,4,"199",0
"24","42","53","63","2","32","","4","7","57","44","42","34.6","55.4","40",55.67,6.7324,29.8,0.916,4,"201",0
"30","54","51","62","2","26","5","2","8","75","42.5","56","65","62.2","61",55.67,6.7324,29.8,0.916,4,"202",1
"","","78","65","2","34","2","2","6","74","","71.75","56","62.2","60.5",55.67,6.7324,29.8,0.916,4,"203",0
"3","40","18","34","2","42","2","1","4","25","28","39.75","49.2","69.2","26",55.67,6.7324,29.8,0.916,4,"205",0
"","50","100","57","1","36","","4","5","100","80","50","55.2","54.4","",55.67,6.7324,29.8,0.916,4,"207",0
"0","100","70","40","2","23","4","2","8","52","55","52.25","0","66","50",55.67,6.7324,29.8,0.916,4,"208",0
"32","70","38","69","2","25","5","3","8","72","65","50","19.6","68.6","45.5",55.67,6.7324,29.8,0.916,4,"209",0
"40","60","80","60","1","21","","3","8","85","75","63.75","0","78","",55.67,6.7324,29.8,0.916,4,"210",0
"61","68","61","61","1","22","2","","7","66","83","50","67.6","54","",55.67,6.7324,29.8,0.916,4,"212",0
"39","80","69","53","2","28","4","4","5","92","83.5","79.75","78.4","64.4","19",55.67,6.7324,29.8,0.916,4,"213",0
"67","89","77","81","1","49","","2","5","98","98","88.25","23.2","96.4","61",55.67,6.7324,29.8,0.916,4,"214",0
"50","95","60","75","2","62","3","2","8","95","90.5","96.25","6.6","95.6","41",55.67,6.7324,29.8,0.916,4,"215",1
"21","71","60","60","1","37","5","3","6","80","85.5","57.5","7.2","54.2","68",63.83,7.2262,26,0.937,5,"218",0
"61","72","71","67","1","70","5","4","9","67","60.5","66.5","75","65.4","78.5",63.83,7.2262,26,0.937,5,"219",1
"8","29","4","67","1","42","6","4","6","81","13.5","33","32.6","30.4","27",63.83,7.2262,26,0.937,5,"220",1
"77","66","76","78","2","43","4","2","4","73","70.5","68","68.4","60.2","72.5",63.83,7.2262,26,0.937,5,"221",1
"21","83","70","61","1","46","4","4","5","97","55","77.5","12.6","85","41.5",63.83,7.2262,26,0.937,5,"222",0
"84","80","72","78","2","30","1","3","4","82","68","82.75","76.8","73","69.5",63.83,7.2262,26,0.937,5,"223",1
"71","71","71","75","1","61","4","4","7","80","80.5","62.5","14.6","77.2","51",63.83,7.2262,26,0.937,5,"228",1
"2","100","51","81","2","62","4","2","5","11","100","51","1.4","40.4","50.5",63.83,7.2262,26,0.937,5,"229",0
"84","71","75","76","2","49","1","2","10","58","62.5","69.5","81.2","63.8","40.5",63.83,7.2262,26,0.937,5,"230",1
"59","100","100","76","1","41","3","2","4","100","97.5","98","34.8","80.2","53",63.83,7.2262,26,0.937,5,"232",1
"62","71","77","50","2","57","4","3","7","67","61.5","56","22","45.6","59.5",63.83,7.2262,26,0.937,5,"234",0
"10","100","100","78","","44","4","2","5","54","50","44","20.8","35.4","54.5",63.83,7.2262,26,0.937,5,"235",0
"25","88","27","34","1","36","5","3","5","68","68.5","56.75","5.2","79.2","45",63.83,7.2262,26,0.937,5,"236",0
"42","47","58","71","2","21","","3","7","69","65","59.25","65.8","58.8","67.5",63.83,7.2262,26,0.937,5,"237",1
"5","100","100","49","1","44","2","3","1","51","20","100","23.4","99.2","49.5",63.83,7.2262,26,0.937,5,"238",0
"91","91","93","88","1","25","4","3","9","90","91.5","90","91.2","75.6","79",63.83,7.2262,26,0.937,5,"240",1
"51","79","77","72","1","51","","3","5","76","63","48","53.8","59","62",63.83,7.2262,26,0.937,5,"242",0
"28","95","94","57","2","46","3","2","3","47","70","71","32.2","83.6","48.5",63.83,7.2262,26,0.937,5,"245",0
"49","68","57","75","2","49","3","4","5","80","69.5","66.5","41.6","56.6","62.5",63.83,7.2262,26,0.937,5,"246",0
"20","96","81","51","2","36","4","3","5","41","50","92.25","4.8","59.8","50",63.83,7.2262,26,0.937,5,"",0
"33","69","11","32","2","42","5","3","6","81","82","57.25","51.6","47","73",63.83,7.2262,26,0.937,5,"",0
"61","76","75","76","1","59","3","3","8","64","62","66.5","65","61.4","51",63.83,7.2262,26,0.937,5,"",1
"43","52","30","62","2","55","4","2","5","71","46","51.25","35.8","54.8","50.5",63.83,7.2262,26,0.937,5,"",0
"68","88","65","96","2","51","4","2","6","90","91","81.75","30.8","54.6","62.5",63.83,7.2262,26,0.937,5,"",1
"25","76","100","73","1","42","5","3","6","99","100","92","6.4","99.2","100",63.83,7.2262,26,0.937,5,"",1
"55","72","82","63","2","41","6","3","7","74","83.5","81.75","4.6","67.8","51.5",63.83,7.2262,26,0.937,5,"",0
"81","66","79","82","1","39","5","3","6","69","73","71.25","73.4","65.6","83.5",63.83,7.2262,26,0.937,5,"",1
"62","72","92","83","1","51","5","2","6","51","72","82.25","46.4","65.8","42",63.83,7.2262,26,0.937,5,"",0
"19","45","44","38","2","41","2","2","5","80","59.5","32","45.2","22.8","80.5",63.83,7.2262,26,0.937,5,"",1
"4","70","51","70","2","35","","3","6","51","","46.25","29.4","36","",63.83,7.2262,26,0.937,5,"",0
"62","71","61","80","1","54","5","3","7","84","72","60.5","6.4","49.6","70.5",63.83,7.2262,26,0.937,5,"",0
"","52","31","51","1","28","4","2","4","75","","48.75","45.6","46.8","",63.83,7.2262,26,0.937,5,"",0
"12","92","50","64","2","66","3","2","6","73","72.5","63.75","5.6","77.8","72",63.83,7.2262,26,0.937,5,"",0
"24","70","51","56","2","69","","3","4","59","60","47","28.6","52.2","49.5",63.83,7.2262,26,0.937,5,"",0
"35","76","71","70","2","35","4","2","4","61","46.5","47.5","9","74.8","34.5",63.83,7.2262,26,0.937,5,"",0
"70","80","85","60","2","23","3","3","3","97","85","72.5","42","87","51",63.83,7.2262,26,0.937,5,"",0
"62","82","91","87","1","25","5","3","7","88","84.5","70.25","17.6","87.4","15",63.83,7.2262,26,0.937,5,"",0
"11","40","56","37","2","37","","3","4","43","","28","28.6","38","",63.83,7.2262,26,0.937,5,"",0
"66","82","90","82","2","29","4","3","6","84","82","79.5","35.4","81.8","69.5",63.83,7.2262,26,0.937,5,"",1
"70","100","71","63","2","59","4","2","1","80","100","80.75","0","73.4","85",63.83,7.2262,26,0.937,5,"",0
"4","95","64","91","1","58","1","2","2","100","92.5","94.5","55","76.4","51.5",63.83,7.2262,26,0.937,5,"",1
"9","5","5","100","2","18","","2","1","6","24","24.25","25","16","",63.83,7.2262,26,0.937,5,"",0
"13","70","65","78","1","47","","3","7","56","46","67.75","31","65.8","59.5",63.83,7.2262,26,0.937,5,"",0
"68","85","58","70","1","25","5","3","7","68","69.5","62.25","65","50.4","56",63.83,7.2262,26,0.937,5,"",1
"10","52","89","49","1","49","4","2","7","50","46.5","41.25","0.2","54","13",63.83,7.2262,26,0.937,5,"",0
"68","71","34","43","1","46","","3","7","91","86.5","66.75","1.4","73.6","37",63.83,7.2262,26,0.937,5,"",0
"73","62","77","76","1","38","5","2","8","80","78","68","71.6","68","64",63.83,7.2262,26,0.937,5,"",1
"72","69","75","74","2","31","1","4","3","64","73.5","74.5","71.6","65.8","58.5",63.83,7.2262,26,0.937,5,"",0
"2","50","1","50","2","36","4","4","3","20","","1.25","2.2","21.2","",63.83,7.2262,26,0.937,5,"",0
"38","40","44","58","2","27","","2","6","56","47","53.75","63.2","64.2","51",63.83,7.2262,26,0.937,5,"",0
"19","17","28","30","2","49","","3","7","49","","9","1.8","21.2","",63.83,7.2262,26,0.937,5,"",1
"56","62","42","70","1","24","6","4","7","94","87","75","89.2","69.6","86",63.83,7.2262,26,0.937,5,"247",1
"27","55","43","61","2","57","5","3","6","72","48.5","80.75","2.8","32","",63.83,7.2262,26,0.937,5,"249",0
"71","82","80","","","","","","","","80.5","73.5","","","",63.83,7.2262,26,0.937,5,"251",1
"34","","","","","","","","","","88","","","","",63.83,7.2262,26,0.937,5,"254",0
"40","50","50","15","1","30","1","3","3","75","75","67","42","72.2","62.5",63.83,7.2262,26,0.937,5,"255",1
"57","68","52","66","2","22","2","3","6","59","62","63.75","62.2","58.2","65.5",63.83,7.2262,26,0.937,5,"257",0
"60","50","71","51","1","68","","2","5","60","75","60.75","37.2","49.8","50.5",63.83,7.2262,26,0.937,5,"258",0
"","","","","","","","","","","","","","","",63.83,7.2262,26,0.937,5,"260",0
"","","","","","","","","","","","","","","",63.83,7.2262,26,0.937,5,"262",0
"60","61","61","59","2","31","","3","5","79","71.5","59.25","42.4","60.8","60.5",63.83,7.2262,26,0.937,5,"",0
"44","72","76","71","2","45","7","3","4","49","48.5","81.75","24.4","77.8","77.5",83.17,2.1988,52.9,0.754,6,"263",0
"90","100","90","80","2","31","6","3","8","50","100","97.5","24.6","30.8","75.5",83.17,2.1988,52.9,0.754,6,"264",1
"78","99","99","65","2","50","5","3","7","90","92.5","97.75","71.6","81.4","55",83.17,2.1988,52.9,0.754,6,"265",0
"32","70","80","25","2","27","5","3","6","79","51.5","81.75","13.8","100","100",83.17,2.1988,52.9,0.754,6,"266",1
"52","71","75","86","2","36","4","4","4","58","96","75.75","16","64.6","2",83.17,2.1988,52.9,0.754,6,"267",1
"40","100","99","93","1","51","6","4","7","92","96.5","99","60.6","80.2","37",83.17,2.1988,52.9,0.754,6,"268",1
"54","80","76","91","1","33","4","2","9","78","85","75.75","84.4","69.6","75.5",83.17,2.1988,52.9,0.754,6,"269",1
"62","90","94","94","2","27","5","4","10","96","91.5","96.75","70.4","62.4","63",83.17,2.1988,52.9,0.754,6,"270",1
"51","96","90","88","1","38","4","4","7","90","85.5","98.75","16.2","76.2","85",83.17,2.1988,52.9,0.754,6,"271",0
"52","83","81","52","1","37","4","4","7","90","72","83.75","36.2","66.8","54.5",83.17,2.1988,52.9,0.754,6,"272",0
"71","89","81","76","2","38","3","2","7","81","53.5","84.75","44.2","60.4","67",83.17,2.1988,52.9,0.754,6,"273",1
"67","90","71","46","2","35","4","3","6","32","70.5","66.5","53.6","62.8","79",83.17,2.1988,52.9,0.754,6,"275",1
"85","100","100","75","1","45","7","4","7","95","98","100","60.4","80","76",83.17,2.1988,52.9,0.754,6,"276",1
"50","100","100","47","2","38","4","3","5","61","83","95.5","21.8","84.8","8.5",83.17,2.1988,52.9,0.754,6,"278",1
"14","100","100","13","2","47","4","4","4","100","100","99.75","40","82","50.5",83.17,2.1988,52.9,0.754,6,"279",1
"30","88","84","65","2","43","4","2","7","76","80.5","83.5","85.2","74.8","100",83.17,2.1988,52.9,0.754,6,"280",1
"71","91","86","72","1","36","5","3","6","56","76.5","92.75","1","94.4","78.5",83.17,2.1988,52.9,0.754,6,"281",1
